GeoFIPS,GeoName,LineCode,Description,Unit,Real GDP (thousands of chained 2017 dollars)
0,United States,1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,21822037000
0,United States,2,Chain-type quantity indexes for real GDP ,Quantity index,111.268
0,United States,3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,25744108000
1000,Alabama,1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,235807320
1000,Alabama,2,Chain-type quantity indexes for real GDP ,Quantity index,108.86
1000,Alabama,3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,281569005
1001,"Autauga, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1929264
1001,"Autauga, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,109.458
1001,"Autauga, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2364891
1003,"Baldwin, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,8924207
1003,"Baldwin, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,120.882
1003,"Baldwin, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10811119
1005,"Barbour, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,745349
1005,"Barbour, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,97.846
1005,"Barbour, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,930064
1007,"Bibb, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,448464
1007,"Bibb, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,110.258
1007,"Bibb, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,558848
1009,"Blount, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1045845
1009,"Blount, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,105.858
1009,"Blount, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1282006
1011,"Bullock, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,247403
1011,"Bullock, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,100.998
1011,"Bullock, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,294277
1013,"Butler, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,652201
1013,"Butler, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,103.487
1013,"Butler, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,820976
1015,"Calhoun, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,4608415
1015,"Calhoun, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,108.576
1015,"Calhoun, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5466368
1017,"Chambers, AL",1,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,894548
1017,"Chambers, AL",2,Chain-type quantity indexes for real GDP ,Quantity index,102.5
1017,"Chambers, AL",3,Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1031827
