FIPS_ST,FIPS_CTY,GRNDTOT
01,001,2796
01,003,14765
01,005,881
01,007,751
01,009,2172
01,011,169
01,013,1001
01,015,4886
01,017,2435
01,019,1492
01,021,2929
01,023,193
01,025,920
01,027,397
01,029,648
01,031,2081
01,033,2511
01,035,387
01,037,464
01,039,1869
01,041,374
01,043,2814
01,045,2781
01,047,694
01,049,2224
01,051,3543
01,053,1385
01,055,3588
01,057,427
01,059,1196
01,061,1283
01,063,114
01,065,236
01,067,853
01,069,7024
01,071,1669
01,073,17560
01,075,258
01,077,4573
01,079,1096
01,081,6434
01,083,3811
01,085,296
01,087,477
01,089,9033
01,091,944
01,093,1204
01,095,5281
01,097,13397
01,099,592
01,101,1324
01,103,7375
01,105,162
01,107,461
01,109,1770
01,111,932
01,113,1956
01,115,4853
01,117,3956
01,119,168
01,121,3397
01,123,2627
01,125,6798
01,127,2623
01,129,694
01,131,320
01,133,577
01,777,234
02,013,63
02,016,149
02,020,13592
02,050,434
02,060,39
02,070,340
02,090,1443
02,100,59
02,105,44
02,110,1760
02,122,1348
02,130,517
02,150,315
02,158,0
02,164,0
02,170,1135
02,180,549
02,185,369
02,188,966
02,195,78
02,198,109
02,220,241
02,230,15
02,240,0
02,261,219
02,275,35
02,282,0
02,290,0
02,777,0
02,999,5839
04,001,1252
04,003,5008
04,005,9423
04,007,3370
04,009,1179
04,011,555
04,012,1122
04,013,136056
04,015,12276
04,017,4831
04,019,46978
04,021,11920
04,023,1523
04,025,9737
04,027,5379
04,777,39960
05,001,492
05,003,373
05,005,1274
05,007,12661
05,009,1786
05,011,123
05,013,60
05,015,1003
05,017,187
05,019,518
05,021,367
05,023,665
05,025,21
05,027,955
05,029,1336
05,031,8967
05,033,4011
05,035,3980
05,037,877
05,039,472
05,041,389
05,043,528
05,045,4137
05,047,749
05,049,260
05,051,4907
05,053,350
05,055,3576
05,057,1594
05,059,1168
05,061,513
05,063,850
05,065,212
05,067,616
05,069,3396
05,071,929
05,073,97
05,075,339
05,077,456
05,079,142
05,081,153
05,083,534
05,085,2470
05,087,213
05,089,308
05,091,3288
05,093,1907
05,095,141
05,097,0
05,099,274
05,101,200
05,103,170
05,105,166
05,107,782
05,109,241
05,111,1860
05,113,718
05,115,1936
05,117,67
05,119,31632
05,121,306
05,123,597
05,125,2526
05,127,383
05,129,68
05,131,10158
05,133,497
05,135,574
05,137,333
05,139,1300
05,141,221
05,143,11507
05,145,2583
05,147,53
05,149,470
06,001,42051
06,003,60
06,005,1062
06,007,11645
06,009,1517
06,011,1087
06,013,25874
06,015,1364
06,017,5170
06,019,36455
06,021,1287
06,023,7142
06,025,7310
06,027,744
06,029,43459
06,031,7579
06,033,4042
06,035,958
06,037,254215
06,039,4476
06,041,6732
06,043,592
06,045,4432
06,047,10212
06,049,407
06,051,341
06,053,12330
06,055,4333
06,057,2878
06,059,81121
06,061,8613
06,063,870
06,065,51905
06,067,38435
06,069,1921
06,071,75425
06,073,89099
06,075,17035
06,077,19919
06,079,11984
06,081,17798
06,083,23298
06,085,36537
06,087,11187
06,089,9871
06,091,146
06,093,2497
06,095,15495
06,097,17374
06,099,21871
06,101,3917
06,103,3132
06,105,848
06,107,22742
06,109,2507
06,111,32903
06,113,7331
06,115,3574
06,777,550
08,001,43602
08,003,355
08,005,28625
08,007,307
08,009,137
08,011,145
08,013,14850
08,014,1342
08,015,1066
08,017,24
08,019,587
08,021,55
08,023,173
08,025,120
08,027,176
08,029,1118
08,031,32644
08,033,56
08,035,5870
08,037,1912
08,039,254
08,041,26143
08,043,1957
08,045,2779
08,047,792
08,049,352
08,051,756
08,053,13
08,055,372
08,057,14
08,059,24955
08,061,69
08,063,449
08,065,335
08,067,3601
08,069,12349
08,071,604
08,073,135
08,075,873
08,077,9168
08,079,1
08,081,840
08,083,1615
08,085,2022
08,087,1515
08,089,580
08,091,107
08,093,185
08,095,91
08,097,467
08,099,388
08,101,3531
08,103,205
08,105,1002
08,107,741
08,109,158
08,111,29
08,113,202
08,115,27
08,117,1714
08,119,1043
08,121,117
08,123,10200
08,125,118
08,777,1596
09,001,16781
09,003,29122
09,005,2812
09,007,3171
09,009,28314
09,011,6437
09,013,1404
09,015,1892
09,777,683
09,999,11470
10,001,7175
10,003,18388
10,005,8158
11,001,10327
12,001,0
12,003,0
12,005,0
12,007,0
12,009,0
12,011,0
12,013,0
12,015,0
12,017,0
12,019,0
12,021,0
12,023,0
12,027,0
12,029,0
12,031,0
12,033,0
12,035,0
12,037,0
12,039,0
12,041,0
12,043,0
12,045,0
12,047,0
12,049,0
12,051,0
12,053,0
12,055,0
12,057,0
12,059,0
12,061,0
12,063,0
12,065,0
12,067,0
12,069,0
12,071,0
12,073,0
12,075,0
12,077,0
12,079,0
12,081,0
12,083,0
12,085,0
12,086,0
12,087,0
12,089,0
12,091,0
12,093,0
12,095,0
12,097,0
12,099,0
12,101,0
12,103,0
12,105,0
12,107,0
12,109,0
12,111,0
12,113,0
12,115,0
12,117,0
12,119,0
12,121,0
12,123,0
12,125,0
12,127,0
12,129,0
12,131,0
12,133,0
12,777,0
13,001,423
13,003,239
13,005,429
13,007,80
13,009,1515
13,011,656
13,013,662
13,015,4559
13,017,813
13,019,486
13,021,2025
13,023,608
13,025,551
13,027,495
13,029,1249
13,031,2997
13,033,266
13,035,1001
13,037,40
13,039,956
13,043,298
13,045,3651
13,047,2898
13,049,363
13,051,10504
13,053,85
13,055,583
13,057,4985
13,059,4615
13,061,96
13,063,4413
13,065,318
13,067,18882
13,069,2172
13,071,2127
13,073,2579
13,075,814
13,077,2879
13,079,259
13,081,2094
13,083,102
13,085,877
13,087,1325
13,089,10133
13,091,708
13,093,422
13,095,5673
13,097,3409
13,099,406
13,101,87
13,103,1201
13,105,887
13,107,368
13,109,134
13,111,847
13,113,3849
13,115,3893
13,117,3260
13,119,1152
13,121,42903
13,123,627
13,125,16
13,127,2420
13,129,2138
13,131,875
13,133,804
13,135,19048
13,137,1575
13,139,4875
13,141,89
13,143,882
13,145,552
13,147,431
13,149,526
13,151,5670
13,153,4214
13,155,221
13,157,2233
13,159,527
13,161,486
13,163,346
13,165,303
13,167,281
13,169,1371
13,171,305
13,173,162
13,175,1776
13,177,834
13,179,1837
13,181,212
13,183,639
13,185,4967
13,187,426
13,189,454
13,191,784
13,193,164
13,195,1000
13,197,139
13,199,901
13,201,277
13,205,582
13,207,1105
13,209,302
13,211,446
13,213,974
13,215,9000
13,217,3789
13,219,934
13,221,320
13,223,2964
13,225,1722
13,227,997
13,229,949
13,231,313
13,233,1204
13,235,171
13,237,589
13,239,67
13,241,780
13,243,0
13,245,692
13,247,3963
13,249,105
13,251,499
13,253,297
13,255,4517
13,257,1067
13,259,110
13,261,1848
13,263,80
13,265,162
13,267,649
13,269,179
13,271,343
13,273,304
13,275,2120
13,277,1496
13,279,1011
13,281,348
13,283,324
13,285,3089
13,287,358
13,289,457
13,291,477
13,293,984
13,295,1368
13,297,3188
13,299,1922
13,301,80
13,303,425
13,305,1147
13,307,0
13,309,0
13,311,781
13,313,5387
13,315,97
13,317,264
13,319,521
13,321,583
15,001,7460
15,003,24645
15,005,0
15,007,2619
15,009,9579
16,001,14866
16,003,66
16,005,3842
16,007,176
16,009,451
16,011,1716
16,013,619
16,015,257
16,017,1756
16,019,4332
16,021,248
16,023,26
16,025,10
16,027,6559
16,029,275
16,031,725
16,033,57
16,035,237
16,037,69
16,039,693
16,041,240
16,043,323
16,045,552
16,047,310
16,049,476
16,051,384
16,053,782
16,055,7677
16,057,913
16,059,103
16,061,93
16,063,109
16,065,621
16,067,614
16,069,2201
16,071,73
16,073,292
16,075,1277
16,077,247
16,079,562
16,081,182
16,083,2688
16,085,609
16,087,245
16,777,536
17,001,0
17,003,0
17,005,0
17,007,0
17,009,0
17,011,0
17,013,0
17,015,0
17,017,0
17,019,0
17,021,0
17,023,0
17,025,0
17,027,0
17,029,0
17,031,0
17,033,0
17,035,0
17,037,0
17,039,0
17,041,0
17,043,0
17,045,0
17,047,0
17,049,0
17,051,0
17,053,0
17,055,0
17,057,0
17,059,0
17,061,0
17,063,0
17,065,0
17,067,0
17,069,0
17,071,0
17,073,0
17,075,0
17,077,0
17,079,0
17,081,0
17,083,0
17,085,0
17,087,0
17,089,0
17,091,0
17,093,0
17,095,0
17,097,0
17,099,0
17,101,0
17,103,0
17,105,0
17,107,0
17,109,0
17,111,0
17,113,0
17,115,0
17,117,0
17,119,0
17,121,0
17,123,0
17,125,0
17,127,0
17,129,0
17,131,0
17,133,0
17,135,0
17,137,0
17,139,0
17,141,0
17,143,0
17,145,0
17,147,0
17,149,0
17,151,0
17,153,0
17,155,0
17,157,0
17,159,0
17,161,0
17,163,0
17,165,0
17,167,0
17,169,0
17,171,0
17,173,0
17,175,0
17,177,0
17,179,0
17,181,0
17,183,0
17,185,0
17,187,0
17,189,0
17,191,0
17,193,0
17,195,0
17,197,0
17,199,0
17,201,0
17,203,0
18,001,703
18,003,7485
18,005,5661
18,007,250
18,009,410
18,011,1392
18,013,182
18,015,469
18,017,1269
18,019,4900
18,021,784
18,023,687
18,025,379
18,027,1122
18,029,1434
18,031,825
18,033,980
18,035,2735
18,037,1041
18,039,6278
18,041,708
18,043,1751
18,045,476
18,047,207
18,049,513
18,051,1090
18,053,1515
18,055,651
18,057,6055
18,059,811
18,061,1107
18,063,2996
18,065,1458
18,067,4539
18,069,744
18,071,1553
18,073,956
18,075,587
18,077,942
18,079,989
18,081,5014
18,083,983
18,085,3155
18,087,899
18,089,14927
18,091,3533
18,093,1218
18,095,4158
18,097,39528
18,099,1583
18,101,314
18,103,1101
18,105,3428
18,107,1023
18,109,2159
18,111,351
18,113,859
18,115,154
18,117,541
18,119,553
18,121,427
18,123,724
18,125,396
18,127,3356
18,129,420
18,131,325
18,133,1122
18,135,743
18,137,758
18,139,707
18,141,6678
18,143,798
18,145,1551
18,147,531
18,149,671
18,151,915
18,153,249
18,155,260
18,157,5936
18,159,510
18,161,197
18,163,8269
18,165,546
18,167,2697
18,169,514
18,171,213
18,173,1229
18,175,813
18,177,2462
18,179,710
18,181,561
18,183,954
19,001,98
