State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
US,United States,10.9,26.4,28.5,34.3
AL,Alabama,12.3,30.4,30.1,27.2
AL,Autauga,9.6,31.1,29.7,29.6
AL,Baldwin,8.4,27.8,31.3,32.6
AL,Barbour,23.5,36.8,27.8,11.9
AL,Bibb,21.1,40.9,27.1,10.9
AL,Blount,18.2,35.3,31.7,14.7
AL,Bullock,26.6,41.3,22.7,9.4
AL,Butler,12.4,48,26.6,13
AL,Calhoun,14.9,34.6,31.4,19.2
AL,Chambers,16.5,39.5,31.2,12.7
AL,Cherokee,18.1,36.1,31.3,14.6
AL,Chilton,17.8,41.6,26.6,14
AL,Choctaw,17.6,38.2,31.1,13
AL,Clarke,18.6,41,26.6,13.8
AL,Clay,16.7,37.4,33.2,12.8
AL,Cleburne,17.5,39,27.1,16.5
AL,Coffee,13.4,28.9,36.1,21.6
AL,Colbert,13.6,36.6,31.7,18
AL,Conecuh,10.6,48.3,27.8,13.3
AL,Coosa,16.5,41.4,31.4,10.6
AL,Covington,14.2,36.3,33.2,16.3
AL,Crenshaw,17.9,42.5,22.4,17.2
AL,Cullman,15.4,31.4,34.9,18.3
AL,Dale,14.3,31.3,35.2,19.2
AL,Dallas,14.7,39.7,30,15.7
AL,DeKalb,22.3,31.8,31.8,14.1
AL,Elmore,11.5,33.8,30.6,24.2
AL,Escambia,17.7,44.4,25.4,12.6
AL,Etowah,13.9,33.4,35,17.7
AL,Fayette,16.3,39.8,30.9,13
AL,Franklin,19.9,40.1,25.1,14.8
AL,Geneva,16.6,36.7,32.8,13.9
AL,Greene,18.1,37.1,28,16.7
AL,Hale,19.4,37.8,26.4,16.4
AL,Henry,18.5,32.8,27.8,21
AL,Houston,12.4,32,33.2,22.5
AL,Jackson,18,37.4,28.5,16.2
AL,Jefferson,8.9,26.1,29.4,35.6
AL,Lamar,17.9,40.9,31,10.2
AL,Lauderdale,11.2,34.9,28.1,25.8
AL,Lawrence,17.3,41.1,25.7,15.8
AL,Lee,8.3,21.7,29.8,40.2
AL,Limestone,12.7,27.8,30,29.5
AL,Lowndes,16.7,41.6,25.4,16.3
AL,Macon,17.3,31.7,30.5,20.6
AL,Madison,7.8,19,28.1,45.1
AL,Marengo,10.9,35.6,31.5,22
AL,Marion,19.4,35.5,33.3,11.8
AL,Marshall,15.6,31.9,31,21.4
AL,Mobile,11.9,34.1,29.8,24.2
AL,Monroe,16.3,44,26.2,13.5
AL,Montgomery,12,25.6,28.7,33.7
AL,Morgan,14.8,30.8,30.6,23.8
AL,Perry,20.4,42.9,21.5,15.2
AL,Pickens,15.1,41.1,29.3,14.5
AL,Pike,12.1,36.2,24,27.7
AL,Randolph,18,34.9,28.4,18.8
AL,Russell,14.8,29.6,39.2,16.4
AL,St. Clair,12.7,35.5,32.4,19.3
AL,Shelby,6.2,20.2,28,45.6
AL,Sumter,11.2,32.2,34.8,21.8
AL,Talladega,16.8,34.9,31.7,16.6
AL,Tallapoosa,18.1,32.1,31.6,18.2
AL,Tuscaloosa,9.4,29.4,30.4,30.9
AL,Walker,17.3,34.8,32.5,15.3
AL,Washington,11.7,43.8,30.2,14.2
AL,Wilcox,22.3,40.4,25.7,11.6
AL,Winston,20,40.4,25.9,13.8
AK,Alaska,6.5,28.8,33.9,30.7
AK,Aleutian Islands,,,,
AK,Aleutians East Borough,19,39.4,24.7,16.9
AK,Aleutians West Census Area,10.5,41.3,32.8,15.4
AK,Anchorage Municipality,5.8,24.5,32.6,37
AK,Bethel Census Area,17.3,47.9,25.2,9.7
AK,Bristol Bay Borough,5,28.3,40.4,26.3
AK,"Chugach Census Area, Alaska",5.5,23.8,39.3,31.5
AK,"Copper River Census Area, Alaska",7.6,29.1,35.2,28.1
AK,Denali Borough,3.3,46.8,24.7,25.1
AK,Dillingham Census Area,11.9,41.6,26.1,20.5
AK,Fairbanks North Star Borough,5.3,25.3,36.4,32.9
AK,Haines Borough,2.3,34.4,29.6,33.7
AK,Hoonah-Angoon Census Area,6,33.6,32.9,27.5
AK,Juneau City and Borough,4.6,22.1,32.6,40.7
AK,Kenai Peninsula Borough,5.8,30.8,35.4,28
AK,Ketchikan Gateway Borough,5.3,28.5,37.7,28.5
AK,Kodiak Island Borough,8.8,29,33.7,28.5
AK,Kusilvak Census Area,18.6,55.7,21.2,4.6
AK,Kuskokwim Division,,,,
AK,Lake and Peninsula Borough,9.2,45,30.3,15.5
AK,Matanuska-Susitna Borough,5.8,33.2,37.4,23.7
AK,Nome Census Area,11.8,43.4,26.5,18.3
AK,North Slope Borough,9.3,43,33.4,14.2
AK,Northwest Arctic Borough,13.9,46.2,24.7,15.2
AK,Petersburg Census Area,13,31.8,30.4,24.8
AK,Prince of Wales-Hyder Census Area,7.5,36.4,36.7,19.4
AK,Prince of Wales-Outer Ketchikan Census Area,,,,
AK,Sitka City and Borough,4.8,25.8,35.3,34.2
