state_po,county_name,candidate,party,candidatevotes,totalvotes
AL,AUTAUGA,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770
AL,AUTAUGA,OTHER,OTHER,429,27770
AL,AUTAUGA,DONALD J TRUMP,REPUBLICAN,19838,27770
AL,BALDWIN,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679
AL,BALDWIN,OTHER,OTHER,1557,109679
AL,BALDWIN,DONALD J TRUMP,REPUBLICAN,83544,109679
AL,BARBOUR,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518
AL,BARBOUR,OTHER,OTHER,80,10518
AL,BARBOUR,DONALD J TRUMP,REPUBLICAN,5622,10518
AL,BIBB,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595
AL,BIBB,OTHER,OTHER,84,9595
AL,BIBB,DONALD J TRUMP,REPUBLICAN,7525,9595
AL,BLOUNT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588
AL,BLOUNT,OTHER,OTHER,237,27588
AL,BLOUNT,DONALD J TRUMP,REPUBLICAN,24711,27588
AL,BULLOCK,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613
AL,BULLOCK,OTHER,OTHER,21,4613
AL,BULLOCK,DONALD J TRUMP,REPUBLICAN,1146,4613
AL,BUTLER,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488
AL,BUTLER,OTHER,OTHER,65,9488
AL,BUTLER,DONALD J TRUMP,REPUBLICAN,5458,9488
AL,CALHOUN,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983
AL,CALHOUN,OTHER,OTHER,666,50983
AL,CALHOUN,DONALD J TRUMP,REPUBLICAN,35101,50983
AL,CHAMBERS,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284
AL,CHAMBERS,OTHER,OTHER,166,15284
AL,CHAMBERS,DONALD J TRUMP,REPUBLICAN,8753,15284
AL,CHEROKEE,JOSEPH R BIDEN JR,DEMOCRAT,1624,12301
AL,CHEROKEE,OTHER,OTHER,94,12301
AL,CHEROKEE,DONALD J TRUMP,REPUBLICAN,10583,12301
AL,CHILTON,JOSEPH R BIDEN JR,DEMOCRAT,3073,19310
AL,CHILTON,OTHER,OTHER,152,19310
AL,CHILTON,DONALD J TRUMP,REPUBLICAN,16085,19310
AL,CHOCTAW,JOSEPH R BIDEN JR,DEMOCRAT,3127,7464
AL,CHOCTAW,OTHER,OTHER,41,7464
AL,CHOCTAW,DONALD J TRUMP,REPUBLICAN,4296,7464
AL,CLARKE,JOSEPH R BIDEN JR,DEMOCRAT,5755,13135
AL,CLARKE,OTHER,OTHER,56,13135
AL,CLARKE,DONALD J TRUMP,REPUBLICAN,7324,13135
AL,CLAY,JOSEPH R BIDEN JR,DEMOCRAT,1267,6930
AL,CLAY,OTHER,OTHER,62,6930
AL,CLAY,DONALD J TRUMP,REPUBLICAN,5601,6930
AL,CLEBURNE,JOSEPH R BIDEN JR,DEMOCRAT,675,7227
AL,CLEBURNE,OTHER,OTHER,68,7227
AL,CLEBURNE,DONALD J TRUMP,REPUBLICAN,6484,7227
AL,COFFEE,JOSEPH R BIDEN JR,DEMOCRAT,5076,22275
AL,COFFEE,OTHER,OTHER,300,22275
