statenam,county,year,broadband,cfips
Alabama,Autauga County,2018,0.78899997,1001
Alabama,Baldwin County,2018,0.78099996,1003
Alabama,Barbour County,2018,0.60399997,1005
Alabama,Bibb County,2018,0.66100001,1007
Alabama,Blount County,2018,0.685,1009
Alabama,Bullock County,2018,0.58899999,1011
Alabama,Butler County,2018,0.62099999,1013
Alabama,Calhoun County,2018,0.73000002,1015
Alabama,Chambers County,2018,0.66499996,1017
Alabama,Cherokee County,2018,0.68599999,1019
Alabama,Chilton County,2018,0.61800003,1021
Alabama,Choctaw County,2018,0.583,1023
Alabama,Clarke County,2018,0.53200001,1025
Alabama,Clay County,2018,0.68199998,1027
Alabama,Cleburne County,2018,0.60399997,1029
Alabama,Coffee County,2018,0.77600002,1031
Alabama,Colbert County,2018,0.68199998,1033
Alabama,Conecuh County,2018,0.472,1035
Alabama,Coosa County,2018,0.64300001,1037
Alabama,Covington County,2018,0.68599999,1039
Alabama,Crenshaw County,2018,0.59600002,1041
Alabama,Cullman County,2018,0.699,1043
Alabama,Dale County,2018,0.72900003,1045
Alabama,Dallas County,2018,0.634,1047
Alabama,DeKalb County,2018,0.66999996,1049
Alabama,Elmore County,2018,0.796,1051
Alabama,Escambia County,2018,0.57300001,1053
Alabama,Etowah County,2018,0.73400003,1055
Alabama,Fayette County,2018,0.68900001,1057
Alabama,Franklin County,2018,0.597,1059
Alabama,Geneva County,2018,0.66900003,1061
Alabama,Greene County,2018,0.46199998,1063
Alabama,Hale County,2018,0.54899997,1065
Alabama,Henry County,2018,0.722,1067
Alabama,Houston County,2018,0.704,1069
Alabama,Jackson County,2018,0.671,1071
Alabama,Jefferson County,2018,0.764,1073
Alabama,Lamar County,2018,0.63,1075
Alabama,Lauderdale County,2018,0.68700004,1077
Alabama,Lawrence County,2018,0.59200001,1079
Alabama,Lee County,2018,0.80300003,1081
Alabama,Limestone County,2018,0.76600003,1083
Alabama,Lowndes County,2018,0.49399999,1085
Alabama,Macon County,2018,0.55800003,1087
Alabama,Madison County,2018,0.83899999,1089
Alabama,Marengo County,2018,0.53100002,1091
Alabama,Marion County,2018,0.64599997,1093
Alabama,Marshall County,2018,0.745,1095
Alabama,Mobile County,2018,0.722,1097
Alabama,Monroe County,2018,0.41600001,1099
Alabama,Montgomery County,2018,0.77399999,1101
Alabama,Morgan County,2018,0.72799999,1103
Alabama,Perry County,2018,0.46199998,1105
Alabama,Pickens County,2018,0.62799996,1107
Alabama,Pike County,2018,0.59200001,1109
