Month,STATE_NAME,COUNTYNAME,Provisional Drug Overdose Deaths
1,Alabama,Autauga,
2,Alabama,Autauga,
3,Alabama,Autauga,
4,Alabama,Autauga,
5,Alabama,Autauga,
6,Alabama,Autauga,
7,Alabama,Autauga,
8,Alabama,Autauga,
9,Alabama,Autauga,
10,Alabama,Autauga,
11,Alabama,Autauga,
12,Alabama,Autauga,
1,Alabama,Autauga,
2,Alabama,Autauga,
3,Alabama,Autauga,
4,Alabama,Autauga,
5,Alabama,Autauga,
6,Alabama,Autauga,
7,Alabama,Autauga,
8,Alabama,Autauga,
9,Alabama,Autauga,
10,Alabama,Autauga,
11,Alabama,Autauga,
12,Alabama,Autauga,
1,Alabama,Autauga,
2,Alabama,Autauga,
3,Alabama,Autauga,
4,Alabama,Autauga,
5,Alabama,Autauga,
6,Alabama,Autauga,
7,Alabama,Autauga,10
8,Alabama,Autauga,
9,Alabama,Autauga,
10,Alabama,Autauga,
11,Alabama,Autauga,
12,Alabama,Autauga,
1,Alabama,Autauga,
2,Alabama,Autauga,
3,Alabama,Autauga,
4,Alabama,Autauga,
5,Alabama,Autauga,
6,Alabama,Autauga,
7,Alabama,Autauga,
8,Alabama,Autauga,
9,Alabama,Autauga,
10,Alabama,Autauga,
11,Alabama,Autauga,
12,Alabama,Autauga,
1,Alabama,Autauga,
2,Alabama,Autauga,
3,Alabama,Autauga,
1,Alabama,Baldwin,27
2,Alabama,Baldwin,28
3,Alabama,Baldwin,34
4,Alabama,Baldwin,37
5,Alabama,Baldwin,43
6,Alabama,Baldwin,48
7,Alabama,Baldwin,46
8,Alabama,Baldwin,51
9,Alabama,Baldwin,54
10,Alabama,Baldwin,54
11,Alabama,Baldwin,59
12,Alabama,Baldwin,63
1,Alabama,Baldwin,70
2,Alabama,Baldwin,73
3,Alabama,Baldwin,73
4,Alabama,Baldwin,79
5,Alabama,Baldwin,79
6,Alabama,Baldwin,83
7,Alabama,Baldwin,91
8,Alabama,Baldwin,93
9,Alabama,Baldwin,94
10,Alabama,Baldwin,92
11,Alabama,Baldwin,87
12,Alabama,Baldwin,88
1,Alabama,Baldwin,82
2,Alabama,Baldwin,82
3,Alabama,Baldwin,90
4,Alabama,Baldwin,87
5,Alabama,Baldwin,88
6,Alabama,Baldwin,86
7,Alabama,Baldwin,82
8,Alabama,Baldwin,75
9,Alabama,Baldwin,74
10,Alabama,Baldwin,75
11,Alabama,Baldwin,77
12,Alabama,Baldwin,75
1,Alabama,Baldwin,77
2,Alabama,Baldwin,80
3,Alabama,Baldwin,70
4,Alabama,Baldwin,69
5,Alabama,Baldwin,71
6,Alabama,Baldwin,72
7,Alabama,Baldwin,79
8,Alabama,Baldwin,82
9,Alabama,Baldwin,85
10,Alabama,Baldwin,80
11,Alabama,Baldwin,80
12,Alabama,Baldwin,77
1,Alabama,Baldwin,76
2,Alabama,Baldwin,72
3,Alabama,Baldwin,72
1,Alabama,Barbour,
2,Alabama,Barbour,
3,Alabama,Barbour,
4,Alabama,Barbour,
5,Alabama,Barbour,
6,Alabama,Barbour,
7,Alabama,Barbour,
8,Alabama,Barbour,
9,Alabama,Barbour,
10,Alabama,Barbour,
11,Alabama,Barbour,
12,Alabama,Barbour,
1,Alabama,Barbour,
2,Alabama,Barbour,
3,Alabama,Barbour,
4,Alabama,Barbour,
5,Alabama,Barbour,
6,Alabama,Barbour,
7,Alabama,Barbour,
8,Alabama,Barbour,
9,Alabama,Barbour,
10,Alabama,Barbour,
11,Alabama,Barbour,
12,Alabama,Barbour,
1,Alabama,Barbour,
2,Alabama,Barbour,
3,Alabama,Barbour,
4,Alabama,Barbour,
5,Alabama,Barbour,
6,Alabama,Barbour,
7,Alabama,Barbour,
8,Alabama,Barbour,
9,Alabama,Barbour,
10,Alabama,Barbour,
11,Alabama,Barbour,
12,Alabama,Barbour,
1,Alabama,Barbour,
2,Alabama,Barbour,
3,Alabama,Barbour,
4,Alabama,Barbour,
5,Alabama,Barbour,
6,Alabama,Barbour,
7,Alabama,Barbour,
8,Alabama,Barbour,
9,Alabama,Barbour,
10,Alabama,Barbour,
11,Alabama,Barbour,
12,Alabama,Barbour,
1,Alabama,Barbour,
2,Alabama,Barbour,
3,Alabama,Barbour,
1,Alabama,Bibb,
2,Alabama,Bibb,
3,Alabama,Bibb,
4,Alabama,Bibb,
5,Alabama,Bibb,
6,Alabama,Bibb,
7,Alabama,Bibb,
8,Alabama,Bibb,
9,Alabama,Bibb,
10,Alabama,Bibb,
11,Alabama,Bibb,
12,Alabama,Bibb,
1,Alabama,Bibb,
2,Alabama,Bibb,
3,Alabama,Bibb,
4,Alabama,Bibb,
5,Alabama,Bibb,
6,Alabama,Bibb,
7,Alabama,Bibb,
8,Alabama,Bibb,
9,Alabama,Bibb,
10,Alabama,Bibb,
11,Alabama,Bibb,
12,Alabama,Bibb,
1,Alabama,Bibb,
2,Alabama,Bibb,
3,Alabama,Bibb,10
4,Alabama,Bibb,
5,Alabama,Bibb,
6,Alabama,Bibb,
7,Alabama,Bibb,
8,Alabama,Bibb,
9,Alabama,Bibb,
10,Alabama,Bibb,
11,Alabama,Bibb,
12,Alabama,Bibb,
1,Alabama,Bibb,
2,Alabama,Bibb,
3,Alabama,Bibb,
4,Alabama,Bibb,
5,Alabama,Bibb,
6,Alabama,Bibb,
7,Alabama,Bibb,
8,Alabama,Bibb,
9,Alabama,Bibb,
10,Alabama,Bibb,10
11,Alabama,Bibb,11
12,Alabama,Bibb,11
1,Alabama,Bibb,
2,Alabama,Bibb,10
3,Alabama,Bibb,11
1,Alabama,Blount,
2,Alabama,Blount,11
3,Alabama,Blount,13
4,Alabama,Blount,12
5,Alabama,Blount,11
6,Alabama,Blount,10
7,Alabama,Blount,10
8,Alabama,Blount,11
9,Alabama,Blount,
10,Alabama,Blount,10
11,Alabama,Blount,11
12,Alabama,Blount,11
1,Alabama,Blount,14
2,Alabama,Blount,11
3,Alabama,Blount,10
4,Alabama,Blount,
5,Alabama,Blount,11
6,Alabama,Blount,13
7,Alabama,Blount,14
8,Alabama,Blount,12
9,Alabama,Blount,14
10,Alabama,Blount,16
11,Alabama,Blount,17
12,Alabama,Blount,16
1,Alabama,Blount,16
2,Alabama,Blount,16
3,Alabama,Blount,15
4,Alabama,Blount,17
5,Alabama,Blount,16
6,Alabama,Blount,14
7,Alabama,Blount,13
8,Alabama,Blount,13
9,Alabama,Blount,13
10,Alabama,Blount,14
11,Alabama,Blount,13
12,Alabama,Blount,15
1,Alabama,Blount,15
2,Alabama,Blount,16
3,Alabama,Blount,16
4,Alabama,Blount,16
5,Alabama,Blount,18
6,Alabama,Blount,21
7,Alabama,Blount,23
8,Alabama,Blount,25
9,Alabama,Blount,24
10,Alabama,Blount,20
11,Alabama,Blount,20
12,Alabama,Blount,19
1,Alabama,Blount,18
2,Alabama,Blount,18
3,Alabama,Blount,19
1,Alabama,Bullock,
2,Alabama,Bullock,
3,Alabama,Bullock,
4,Alabama,Bullock,
5,Alabama,Bullock,
6,Alabama,Bullock,
7,Alabama,Bullock,
8,Alabama,Bullock,
9,Alabama,Bullock,
10,Alabama,Bullock,
11,Alabama,Bullock,
12,Alabama,Bullock,
1,Alabama,Bullock,
2,Alabama,Bullock,
3,Alabama,Bullock,
4,Alabama,Bullock,0
5,Alabama,Bullock,0
6,Alabama,Bullock,0
7,Alabama,Bullock,0
8,Alabama,Bullock,0
9,Alabama,Bullock,0
10,Alabama,Bullock,0
11,Alabama,Bullock,0
12,Alabama,Bullock,0
1,Alabama,Bullock,0
2,Alabama,Bullock,0
3,Alabama,Bullock,0
4,Alabama,Bullock,0
5,Alabama,Bullock,0
6,Alabama,Bullock,0
7,Alabama,Bullock,0
8,Alabama,Bullock,0
9,Alabama,Bullock,0
10,Alabama,Bullock,
