State,Area_Name,POP_ESTIMATE_2023
US,United States,334914895
AL,Alabama,5108468
AL,Autauga,60342
AL,Baldwin,253507
AL,Barbour,24585
AL,Bibb,21868
AL,Blount,59816
AL,Bullock,9897
AL,Butler,18382
AL,Calhoun,116429
AL,Chambers,34079
AL,Cherokee,25666
AL,Chilton,46431
AL,Choctaw,12252
AL,Clarke,22337
AL,Clay,14111
AL,Cleburne,15639
AL,Coffee,55643
AL,Colbert,58361
AL,Conecuh,11174
AL,Coosa,10268
AL,Covington,37952
AL,Crenshaw,13101
AL,Cullman,92016
AL,Dale,49871
AL,Dallas,36165
AL,DeKalb,72569
AL,Elmore,90441
AL,Escambia,36558
AL,Etowah,103241
AL,Fayette,15967
AL,Franklin,31802
AL,Geneva,26988
AL,Greene,7341
AL,Hale,14888
AL,Henry,17899
AL,Houston,108462
AL,Jackson,53467
AL,Jefferson,662895
AL,Lamar,13661
AL,Lauderdale,96814
AL,Lawrence,33502
AL,Lee,183215
AL,Limestone,114654
AL,Lowndes,9717
AL,Macon,18370
AL,Madison,412600
AL,Marengo,18684
AL,Marion,29244
AL,Marshall,100756
AL,Mobile,411640
AL,Monroe,19229
AL,Montgomery,224980
AL,Morgan,125133
AL,Perry,7738
AL,Pickens,18688
AL,Pike,33137
AL,Randolph,22786
AL,Russell,58744
AL,St. Clair,95552
AL,Shelby,233000
AL,Sumter,11727
AL,Talladega,81132
AL,Tallapoosa,40677
AL,Tuscaloosa,237373
AL,Walker,64728
AL,Washington,15022
AL,Wilcox,9944
AL,Winston,23611
AK,Alaska,733406
AK,Aleutians East Borough,3461
AK,Aleutians West Census Area,5160
AK,Anchorage Municipality,286075
AK,Bethel Census Area,18224
AK,Bristol Bay Borough,844
AK,Chugach Census Area,6769
AK,Copper River Census Area,2674
AK,Denali Borough,1584
AK,Dillingham Census Area,4607
AK,Fairbanks North Star Borough,94840
AK,Haines Borough,2070
AK,Hoonah-Angoon Census Area,2262
AK,Juneau City and Borough,31555
AK,Kenai Peninsula Borough,61223
AK,Ketchikan Gateway Borough,13738
AK,Kodiak Island Borough,12565
AK,Kusilvak Census Area,8001
AK,Lake and Peninsula Borough,1331
AK,Matanuska-Susitna Borough,115239
AK,Nome Census Area,9763
AK,North Slope Borough,10603
AK,Northwest Arctic Borough,7361
AK,Petersburg Borough,3427
AK,Prince of Wales-Hyder Census Area,5696
AK,Sitka City and Borough,8282
AK,Skagway Municipality,1095
AK,Southeast Fairbanks Census Area,7077
AK,Wrangell City and Borough,2064
AK,Yakutat City and Borough,687
AK,Yukon-Koyukuk Census Area,5129
AZ,Arizona,7431344
AZ,Apache,65036
AZ,Cochise,124640
AZ,Coconino,144472
AZ,Gila,54003
AZ,Graham,39525
AZ,Greenlee,9369
AZ,La Paz,16710
AZ,Maricopa,4585871
AZ,Mohave,223682
AZ,Navajo,109175
AZ,Pima,1063162
AZ,Pinal,484239
AZ,Santa Cruz,49158
AZ,Yavapai,249081
AZ,Yuma,213221
AR,Arkansas,16307
AR,Ashley,18262
AR,Baxter,42875
AR,Benton,311013
AR,Boone,38530
AR,Bradley,10104
AR,Calhoun,4641
AR,Carroll,28814
AR,Chicot,9538
AR,Clark,21274
AR,Clay,14201
AR,Cleburne,25445
AR,Cleveland,7378
AR,Columbia,22150
AR,Conway,21077
AR,Craighead,113993
AR,Crawford,61891
AR,Crittenden,47139
AR,Cross,16420
AR,Dallas,6185
AR,Desha,10479
AR,Drew,16945
AR,Faulkner,129951
AR,Franklin,17468
AR,Fulton,12421
AR,Garland,99784
AR,Grant,18383
AR,Greene,46743
AR,Hempstead,19343
AR,Hot Spring,33258
AR,Howard,12533
AR,Independence,38320
AR,Izard,14169
AR,Jackson,16784
AR,Jefferson,63661
AR,Johnson,26129
AR,Lafayette,6095
AR,Lawrence,16318
AR,Lee,8201
AR,Lincoln,12898
AR,Little River,11805
AR,Logan,21400
AR,Lonoke,75944
AR,Madison,17775
AR,Marion,17514
AR,Miller,42415
AR,Mississippi,38663
AR,Monroe,6512
AR,Montgomery,8620
AR,Nevada,8120
AR,Newton,7071
AR,Ouachita,21793
AR,Perry,10184
AR,Phillips,14961
AR,Pike,10208
AR,Poinsett,22397
AR,Polk,19436
AR,Pope,64593
AR,Prairie,8036
AR,Pulaski,400009
AR,Randolph,18907
AR,St. Francis,22101
AR,Saline,129574
AR,Scott,9851
AR,Searcy,7806
AR,Sebastian,129098
AR,Sevier,15632
AR,Sharp,17968
AR,Stone,12671
AR,Union,37397
AR,Van Buren,16142
AR,Washington,261549
AR,White,78452
AR,Woodruff,5964
AR,Yell,20044
CA,California,38965193
CA,Alameda,1622188
CA,Alpine,1141
CA,Amador,41811
CA,Butte,207172
CA,Calaveras,46565
CA,Colusa,22037
CA,Contra Costa,1155025
CA,Del Norte,26589
CA,El Dorado,192215
CA,Fresno,1017162
CA,Glenn,28129
CA,Humboldt,133985
CA,Imperial,179057
CA,Inyo,18527
CA,Kern,913820
CA,Kings,152682
CA,Lake,67878
CA,Lassen,28861
CA,Los Angeles,9663345
CA,Madera,162858
CA,Marin,254407
CA,Mariposa,16919
CA,Mendocino,89108
CA,Merced,291920
CA,Modoc,8500
CA,Mono,13066
CA,Monterey,430723
CA,Napa,133216
CA,Nevada,102037
CA,Orange,3135755
CA,Placer,423561
CA,Plumas,19131
CA,Riverside,2492442
CA,Sacramento,1584288
CA,San Benito,68175
CA,San Bernardino,2195611
CA,San Diego,3269973
CA,San Francisco,808988
CA,San Joaquin,800965
CA,San Luis Obispo,281639
CA,San Mateo,726353
CA,Santa Barbara,441257
CA,Santa Clara,1877592
CA,Santa Cruz,261547
CA,Shasta,180366
CA,Sierra,3200
CA,Siskiyou,42905
CA,Solano,449218
CA,Sonoma,481812
CA,Stanislaus,551430
CA,Sutter,97948
CA,Tehama,64896
CA,Trinity,15670
CA,Tulare,479468
CA,Tuolumne,54204
CA,Ventura,829590
CA,Yolo,220544
CA,Yuba,85722
CO,Colorado,5877610
CO,Adams,533365
CO,Alamosa,16655
CO,Arapahoe,656061
CO,Archuleta,14189
CO,Baca,3344
CO,Bent,5681
CO,Boulder,326831
CO,Broomfield,76860
CO,Chaffee,20617
CO,Cheyenne,1727
CO,Clear Creek,9147
CO,Conejos,7521
CO,Costilla,3628
CO,Crowley,5636
CO,Custer,5534
CO,Delta,31746
CO,Denver,716577
CO,Dolores,2513
CO,Douglas,383906
CO,Eagle,54381
CO,Elbert,28806
CO,El Paso,744215
CO,Fremont,50318
CO,Garfield,62707
CO,Gilpin,5926
CO,Grand,15935
CO,Gunnison,17321
CO,Hinsdale,765
CO,Huerfano,7055
CO,Jackson,1309
CO,Jefferson,576366
CO,Kiowa,1384
CO,Kit Carson,6994
CO,Lake,7365
CO,La Plata,56407
CO,Larimer,370771
CO,Las Animas,14348
CO,Lincoln,5480
CO,Logan,20619
CO,Mesa,159681
CO,Mineral,944
CO,Moffat,13327
CO,Montezuma,26531
CO,Montrose,44156
CO,Morgan,29524
CO,Otero,18136
CO,Ouray,5176
CO,Park,18117
CO,Phillips,4476
CO,Pitkin,16640
CO,Prowers,11751
CO,Pueblo,169422
CO,Rio Blanco,6569
CO,Rio Grande,11188
CO,Routt,25064
CO,Saguache,6688
CO,San Juan,802
CO,San Miguel,7868
CO,Sedgwick,2299
CO,Summit,30465
CO,Teller,24617
CO,Washington,4855
CO,Weld,359442
CO,Yuma,9862
CT,Connecticut,3617176
CT,Fairfield,
CT,Hartford,
CT,Litchfield,
CT,Middlesex,
CT,New Haven,
CT,New London,
CT,Tolland,
CT,Windham,
CT,Capitol Planning Region,975328
CT,Greater Bridgeport Planning Region,327651
CT,Lower Connecticut River Valley Planning Region,176215
