State,Area_name,POVALL_2021,MEDHHINC_2021
US,United States,41393176,69717
AL,Alabama,800848,53990
AL,Autauga,6296,66444
AL,Baldwin,25526,65658
AL,Barbour,5089,38649
AL,Bibb,4204,48454
AL,Blount,6992,56894
AL,Bullock,2764,32027
AL,Butler,4226,39442
AL,Calhoun,21630,48166
AL,Chambers,6699,45447
AL,Cherokee,4513,46365
AL,Chilton,6973,55142
AL,Choctaw,2893,40601
AL,Clarke,4366,45447
AL,Clay,2560,47036
AL,Cleburne,2236,49769
AL,Coffee,8516,55052
AL,Colbert,9396,53341
AL,Conecuh,2528,35621
AL,Coosa,1754,45954
AL,Covington,7317,44188
AL,Crenshaw,2267,38037
AL,Cullman,11898,55036
AL,Dale,7587,50086
AL,Dallas,10914,33159
AL,DeKalb,13783,45062
AL,Elmore,10138,63147
AL,Escambia,8147,40506
AL,Etowah,17605,46308
AL,Fayette,3123,46122
AL,Franklin,5995,45440
AL,Geneva,5566,43206
AL,Greene,2520,30225
AL,Hale,3221,41995
AL,Henry,2694,56389
AL,Houston,20210,48701
AL,Jackson,9851,46998
AL,Jefferson,110131,55210
AL,Lamar,2300,44265
AL,Lauderdale,14838,52222
AL,Lawrence,4566,55555
AL,Lee,30989,54188
AL,Limestone,10363,69207
AL,Lowndes,2786,36993
AL,Macon,4725,35354
AL,Madison,39316,78386
AL,Marengo,4602,42048
AL,Marion,5209,44636
AL,Marshall,15145,50858
AL,Mobile,74061,49848
AL,Monroe,4349,40997
AL,Montgomery,47309,50645
AL,Morgan,16459,56340
AL,Perry,2591,31522
AL,Pickens,3591,43926
AL,Pike,7429,38945
AL,Randolph,4652,45889
AL,Russell,12620,44849
AL,St. Clair,11652,63015
AL,Shelby,17306,85457
AL,Sumter,4005,29490
AL,Talladega,14936,47331
AL,Tallapoosa,7420,47444
AL,Tuscaloosa,31735,56274
AL,Walker,12877,46343
AL,Washington,3091,49795
AL,Wilcox,3340,30071
AL,Winston,4455,47176
AK,Alaska,77736,78437
AK,Aleutians East Borough,625,71492
AK,Aleutians West Census Area,505,86050
AK,Anchorage Borough,26920,86152
AK,Bethel Census Area,4496,54849
AK,Bristol Bay Borough,93,88516
AK,Chugach Census Area,530,88029
AK,Copper River Census Area,375,61288
AK,Denali Borough,115,85251
AK,Dillingham Census Area,1033,58389
AK,Fairbanks North Star Borough,7247,76754
AK,Haines Borough,223,63155
AK,Hoonah-Angoon Census Area,395,56555
AK,Juneau Borough,2378,89922
AK,Kenai Peninsula Borough,6729,71111
AK,Ketchikan Gateway Borough,1529,73260
AK,Kodiak Island Borough,1072,80863
AK,Kusilvak Census Area,2534,38203
AK,Lake and Peninsula Borough,290,51205
AK,Matanuska-Susitna Borough,11453,80164
AK,Nome Census Area,1920,65578
AK,North Slope Borough,1354,95041
AK,Northwest Arctic Borough,1560,67586
AK,Petersburg Borough,269,71878
AK,Prince of Wales-Hyder Census Area,859,56226
AK,Sitka Borough,717,78248
AK,Skagway Municipality,69,65712
AK,Southeast Fairbanks Census Area,890,68347
AK,Wrangell City and Borough,231,64732
AK,Yakutat Borough,86,73014
AK,Yukon-Koyukuk Census Area,1240,44934
AZ,Arizona,919680,68967
AZ,Apache,18422,41002
AZ,Cochise,20618,55748
AZ,Coconino,22677,63829
AZ,Gila,8900,52665
AZ,Graham,7385,52644
AZ,Greenlee,886,71669
AZ,La Paz,3303,44330
AZ,Maricopa,502224,76230
AZ,Mohave,38383,48169
AZ,Navajo,26324,49057
AZ,Pima,151169,60604
AZ,Pinal,45630,70835
AZ,Santa Cruz,9723,49216
AZ,Yavapai,29766,57676
AZ,Yuma,34270,55991
AR,Arkansas,2923,50928
AR,Ashley,3950,44030
AR,Baxter,5565,45116
AR,Benton,22890,78974
AR,Boone,4860,48700
AR,Bradley,2011,40454
AR,Calhoun,672,49977
AR,Carroll,4717,49225
AR,Chicot,2594,34857
AR,Clark,3699,47158
AR,Clay,2543,41419
AR,Cleburne,4109,50200
AR,Cleveland,1054,53705
AR,Columbia,4777,44651
AR,Conway,3494,47741
AR,Craighead,19674,52490
AR,Crawford,8790,54065
AR,Crittenden,10706,43821
AR,Cross,2738,45262
AR,Dallas,1213,42442
AR,Desha,3032,39042
AR,Drew,2715,46572
AR,Faulkner,16486,57573
AR,Franklin,2908,47834
AR,Fulton,2157,41557
AR,Garland,14319,48053
AR,Grant,2017,67088
AR,Greene,5898,53920
AR,Hempstead,4125,41281
AR,Hot Spring,5521,51662
AR,Howard,2245,42733
AR,Independence,6924,48957
AR,Izard,2384,40788
AR,Jackson,3316,37815
AR,Jefferson,12258,46100
AR,Johnson,4570,43003
AR,Lafayette,1448,38777
AR,Lawrence,3193,44661
AR,Lee,2448,29714
AR,Lincoln,2160,45435
AR,Little River,1854,46619
AR,Logan,3204,45558
AR,Lonoke,8161,64633
AR,Madison,2587,49691
AR,Marion,2986,42892
AR,Miller,8483,45450
AR,Mississippi,9276,41007
AR,Monroe,1667,37113
AR,Montgomery,1692,41359
AR,Nevada,1705,40283
AR,Newton,1366,41823
AR,Ouachita,4437,47169
AR,Perry,1500,51204
AR,Phillips,5623,32419
AR,Pike,1844,43710
AR,Poinsett,4948,42639
AR,Polk,3697,43166
AR,Pope,10897,47049
AR,Prairie,1257,59367
AR,Pulaski,68564,53597
AR,Randolph,3141,43484
AR,St. Francis,6108,36781
AR,Saline,10572,68107
