FIPS_Code,State,Area_Name,Unemployment_rate_2021
1000,AL,Alabama,3.4
1001,AL,"Autauga, AL",2.8
1003,AL,"Baldwin, AL",2.9
1005,AL,"Barbour, AL",5.5
1007,AL,"Bibb, AL",3.4
1009,AL,"Blount, AL",2.4
1011,AL,"Bullock, AL",3.9
1013,AL,"Butler, AL",5.1
1015,AL,"Calhoun, AL",4
1017,AL,"Chambers, AL",3.6
1019,AL,"Cherokee, AL",2.5
1021,AL,"Chilton, AL",2.8
1023,AL,"Choctaw, AL",4.3
1025,AL,"Clarke, AL",5.8
1027,AL,"Clay, AL",2.7
1029,AL,"Cleburne, AL",2.6
1031,AL,"Coffee, AL",2.8
1033,AL,"Colbert, AL",3.9
1035,AL,"Conecuh, AL",4.7
1037,AL,"Coosa, AL",3
1039,AL,"Covington, AL",3
1041,AL,"Crenshaw, AL",3.3
1043,AL,"Cullman, AL",2.3
1045,AL,"Dale, AL",3.1
1047,AL,"Dallas, AL",7.1
1049,AL,"DeKalb, AL",2.5
1051,AL,"Elmore, AL",2.7
1053,AL,"Escambia, AL",4
1055,AL,"Etowah, AL",4
1057,AL,"Fayette, AL",3.1
1059,AL,"Franklin, AL",2.5
1061,AL,"Geneva, AL",2.8
1063,AL,"Greene, AL",6.5
1065,AL,"Hale, AL",5.5
1067,AL,"Henry, AL",3.2
1069,AL,"Houston, AL",3.3
1071,AL,"Jackson, AL",2.8
1073,AL,"Jefferson, AL",3.5
1075,AL,"Lamar, AL",3
1077,AL,"Lauderdale, AL",3.1
1079,AL,"Lawrence, AL",2.9
1081,AL,"Lee, AL",2.8
1083,AL,"Limestone, AL",2.4
1085,AL,"Lowndes, AL",8.7
1087,AL,"Macon, AL",5.8
1089,AL,"Madison, AL",2.6
1091,AL,"Marengo, AL",4.2
1093,AL,"Marion, AL",2.8
1095,AL,"Marshall, AL",2.4
1097,AL,"Mobile, AL",4.6
1099,AL,"Monroe, AL",5.5
1101,AL,"Montgomery, AL",4.7
1103,AL,"Morgan, AL",2.6
1105,AL,"Perry, AL",7.9
1107,AL,"Pickens, AL",4
1109,AL,"Pike, AL",3.2
1111,AL,"Randolph, AL",2.7
1113,AL,"Russell, AL",3
1115,AL,"St. Clair, AL",2.6
1117,AL,"Shelby, AL",2.1
1119,AL,"Sumter, AL",4.4
1121,AL,"Talladega, AL",4.1
1123,AL,"Tallapoosa, AL",4
1125,AL,"Tuscaloosa, AL",3.5
1127,AL,"Walker, AL",3.6
1129,AL,"Washington, AL",4.6
1131,AL,"Wilcox, AL",10.5
1133,AL,"Winston, AL",2.7
2000,AK,Alaska,6.4
2013,AK,"Aleutians East Borough, AK",2.5
2016,AK,"Aleutians West Census Area, AK",3.8
2020,AK,"Anchorage Borough/municipality, AK",5.9
2050,AK,"Bethel Census Area, AK",13.1
2060,AK,"Bristol Bay Borough, AK",5.6
2063,AK,"Chugach Census Area, AK",2.5
2066,AK,"Copper River Census Area, AK",3.3
2068,AK,"Denali Borough, AK",10.5
2070,AK,"Dillingham Census Area, AK",8.3
2090,AK,"Fairbanks North Star Borough, AK",5.2
2100,AK,"Haines Borough, AK",11.2
2105,AK,"Hoonah-Angoon Census Area, AK",9.3
2110,AK,"Juneau Borough/city, AK",4.8
2122,AK,"Kenai Peninsula Borough, AK",7.3
2130,AK,"Ketchikan Gateway Borough, AK",7.4
