geoname,cvap_est
"Autauga, Alabama",44355
"Baldwin, Alabama",180460
"Barbour, Alabama",19305
"Bibb, Alabama",17420
"Blount, Alabama",43700
"Bullock, Alabama",7875
"Butler, Alabama",14610
"Calhoun, Alabama",90155
"Chambers, Alabama",27180
"Cherokee, Alabama",20010
"Chilton, Alabama",33390
"Choctaw, Alabama",10110
"Clarke, Alabama",17880
"Clay, Alabama",11275
"Cleburne, Alabama",11590
"Coffee, Alabama",39750
"Colbert, Alabama",44765
"Conecuh, Alabama",9195
"Coosa, Alabama",8625
"Covington, Alabama",29040
"Crenshaw, Alabama",9980
"Cullman, Alabama",67395
"Dale, Alabama",37380
"Dallas, Alabama",29035
"DeKalb, Alabama",50495
"Elmore, Alabama",67545
"Escambia, Alabama",28395
"Etowah, Alabama",79975
"Fayette, Alabama",12850
"Franklin, Alabama",22625
"Geneva, Alabama",20590
"Greene, Alabama",6010
"Hale, Alabama",11260
"Henry, Alabama",13725
"Houston, Alabama",81305
"Jackson, Alabama",41345
"Jefferson, Alabama",505125
"Lamar, Alabama",10820
"Lauderdale, Alabama",74610
"Lawrence, Alabama",25715
"Lee, Alabama",133150
"Limestone, Alabama",79555
"Lowndes, Alabama",7860
"Macon, Alabama",15850
"Madison, Alabama",296455
"Marengo, Alabama",14700
"Marion, Alabama",22920
"Marshall, Alabama",68675
"Mobile, Alabama",312105
"Monroe, Alabama",15590
"Montgomery, Alabama",168315
"Morgan, Alabama",90715
"Perry, Alabama",6640
"Pickens, Alabama",14635
"Pike, Alabama",25915
"Randolph, Alabama",17400
"Russell, Alabama",44160
"St. Clair, Alabama",70770
"Shelby, Alabama",167350
"Sumter, Alabama",9775
"Talladega, Alabama",63400
"Tallapoosa, Alabama",32455
"Tuscaloosa, Alabama",179855
"Walker, Alabama",50110
"Washington, Alabama",12240
"Wilcox, Alabama",8015
"Winston, Alabama",18555
"Aleutians East Borough, Alaska",2200
"Aleutians West Census Area, Alaska",3095
"Anchorage Municipality, Alaska",211540
"Bethel Census Area, Alaska",11935
"Bristol Bay Borough, Alaska",650
"Chugach Census Area, Alaska",5195
"Copper River Census Area, Alaska",1905
"Denali Borough, Alaska",1720
"Dillingham Census Area, Alaska",3325
"Fairbanks North Star Borough, Alaska",71015
"Haines Borough, Alaska",1405
"Hoonah-Angoon Census Area, Alaska",1990
"Juneau City and Borough, Alaska",24710
"Kenai Peninsula Borough, Alaska",45335
"Ketchikan Gateway Borough, Alaska",10665
"Kodiak Island Borough, Alaska",8805
"Kusilvak Census Area, Alaska",4890
"Lake and Peninsula Borough, Alaska",700
"Matanuska-Susitna Borough, Alaska",79125
"Nome Census Area, Alaska",6550
"North Slope Borough, Alaska",8065
"Northwest Arctic Borough, Alaska",4820
"Petersburg Borough, Alaska",2510
"Prince of Wales-Hyder Census Area, Alaska",4470
"Sitka City and Borough, Alaska",6325
"Skagway Municipality, Alaska",1055
"Southeast Fairbanks Census Area, Alaska",4910
"Wrangell City and Borough, Alaska",1610
"Yakutat City and Borough, Alaska",400
"Yukon-Koyukuk Census Area, Alaska",3815
"Apache, Arizona",48085
"Cochise, Arizona",94115
"Coconino, Arizona",111990
"Gila, Arizona",42340
"Graham, Arizona",27940
"Greenlee, Arizona",6745
"La Paz, Arizona",12680
"Maricopa, Arizona",3079625
"Mohave, Arizona",172945
"Navajo, Arizona",78420
"Pima, Arizona",775515
"Pinal, Arizona",317925
"Santa Cruz, Arizona",28835
"Yavapai, Arizona",192905
"Yuma, Arizona",128480
"Arkansas, Arkansas",12990
"Ashley, Arkansas",14410
"Baxter, Arkansas",34165
"Benton, Arkansas",192770
"Boone, Arkansas",28895
"Bradley, Arkansas",7355
"Calhoun, Arkansas",3865
"Carroll, Arkansas",20305
"Chicot, Arkansas",7820
"Clark, Arkansas",17010
"Clay, Arkansas",11455
"Cleburne, Arkansas",20090
"Cleveland, Arkansas",5980
"Columbia, Arkansas",17725
"Conway, Arkansas",15745
"Craighead, Arkansas",80735
"Crawford, Arkansas",44890
"Crittenden, Arkansas",34560
"Cross, Arkansas",12590
"Dallas, Arkansas",5140
"Desha, Arkansas",8120
"Drew, Arkansas",13230
"Faulkner, Arkansas",94265
"Franklin, Arkansas",13200
"Fulton, Arkansas",9595
"Garland, Arkansas",78185
"Grant, Arkansas",13915
"Greene, Arkansas",34625
"Hempstead, Arkansas",13935
"Hot Spring, Arkansas",26530
"Howard, Arkansas",8730
"Independence, Arkansas",28090
"Izard, Arkansas",11305
"Jackson, Arkansas",13450
"Jefferson, Arkansas",52050
"Johnson, Arkansas",17980
"Lafayette, Arkansas",5010
"Lawrence, Arkansas",12475
"Lee, Arkansas",6955
"Lincoln, Arkansas",10880
"Little River, Arkansas",9320
"Logan, Arkansas",16645
"Lonoke, Arkansas",54850
"Madison, Arkansas",12685
"Marion, Arkansas",13655
"Miller, Arkansas",32205
"Mississippi, Arkansas",29355
"Monroe, Arkansas",5315
"Montgomery, Arkansas",6830
"Nevada, Arkansas",6420
"Newton, Arkansas",5825
"Ouachita, Arkansas",17495
"Perry, Arkansas",7745
"Phillips, Arkansas",11935
"Pike, Arkansas",7655
"Poinsett, Arkansas",17355
"Polk, Arkansas",14520
"Pope, Arkansas",47315
"Prairie, Arkansas",6555
"Pulaski, Arkansas",295670
"Randolph, Arkansas",13885
"St. Francis, Arkansas",17590
"Saline, Arkansas",93305
"Scott, Arkansas",7475
"Searcy, Arkansas",6260
"Sebastian, Arkansas",91950
"Sevier, Arkansas",9460
"Sharp, Arkansas",13640
"Stone, Arkansas",9915
"Union, Arkansas",28945
"Van Buren, Arkansas",12670
"Washington, Arkansas",170905
"White, Arkansas",58080
"Woodruff, Arkansas",4885
"Yell, Arkansas",14120
"Alameda, California",1104010
"Alpine, California",1150
"Amador, California",33475
"Butte, California",163370
"Calaveras, California",36995
"Colusa, California",12605
"Contra Costa, California",791470
"Del Norte, California",20655
"El Dorado, California",147070
"Fresno, California",624635
"Glenn, California",18545
"Humboldt, California",106755
"Imperial, California",103945
"Inyo, California",14335
"Kern, California",543555
"Kings, California",95475
"Lake, California",50220
"Lassen, California",25095
"Los Angeles, California",6410095
"Madera, California",94435
"Marin, California",188120
"Mariposa, California",13470
"Mendocino, California",66235
"Merced, California",158800
"Modoc, California",6785
"Mono, California",9445
"Monterey, California",241250
"Napa, California",96315
"Nevada, California",81715
"Orange, California",2127355
"Placer, California",301335
"Plumas, California",15990
"Riverside, California",1610450
"Sacramento, California",1095810
"San Benito, California",41830
"San Bernardino, California",1406300
"San Diego, California",2304925
"San Francisco, California",633650
"San Joaquin, California",487135
"San Luis Obispo, California",220680
"San Mateo, California",502615
"Santa Barbara, California",287625
"Santa Clara, California",1176135
"Santa Cruz, California",193475
"Shasta, California",138510
"Sierra, California",2445
"Siskiyou, California",34190
"Solano, California",318515
"Sonoma, California",354880
"Stanislaus, California",349335
"Sutter, California",63935
"Tehama, California",46600
"Trinity, California",12720
"Tulare, California",268455
"Tuolumne, California",44720
"Ventura, California",573110
"Yolo, California",149865
"Yuba, California",55535
"Adams, Colorado",343020
"Alamosa, Colorado",12140
"Arapahoe, Colorado",458910
"Archuleta, Colorado",10855
"Baca, Colorado",2670
"Bent, Colorado",4455
"Boulder, Colorado",253805
"Broomfield, Colorado",54720
"Chaffee, Colorado",16250
"Cheyenne, Colorado",1240
"Clear Creek, Colorado",8145
"Conejos, Colorado",5530
"Costilla, Colorado",2745
"Crowley, Colorado",4910
"Custer, Colorado",3970
"Delta, Colorado",24525
"Denver, Colorado",528920
"Dolores, Colorado",1980
"Douglas, Colorado",261405
"Eagle, Colorado",38985
"Elbert, Colorado",20575
"El Paso, Colorado",539170
"Fremont, Colorado",40730
"Garfield, Colorado",41370
"Gilpin, Colorado",4570
"Grand, Colorado",12665
"Gunnison, Colorado",14070
"Hinsdale, Colorado",805
"Huerfano, Colorado",5755
"Jackson, Colorado",1180
"Jefferson, Colorado",455520
"Kiowa, Colorado",985
"Kit Carson, Colorado",4970
"Lake, Colorado",5585
"La Plata, Colorado",45210
"Larimer, Colorado",282090
"Las Animas, Colorado",11435
"Lincoln, Colorado",4515
"Logan, Colorado",16815
"Mesa, Colorado",120045
"Mineral, Colorado",700
"Moffat, Colorado",9430
"Montezuma, Colorado",20090
"Montrose, Colorado",32335
"Morgan, Colorado",19420
"Otero, Colorado",13890
"Ouray, Colorado",4240
"Park, Colorado",14895
"Phillips, Colorado",3005
"Pitkin, Colorado",13965
"Prowers, Colorado",8550
"Pueblo, Colorado",127410
"Rio Blanco, Colorado",4785
"Rio Grande, Colorado",8695
"Routt, Colorado",20065
"Saguache, Colorado",5065
"San Juan, Colorado",580
"San Miguel, Colorado",6350
"Sedgwick, Colorado",1800
"Summit, Colorado",24525
"Teller, Colorado",20300
"Washington, Colorado",3640
"Weld, Colorado",229960
"Yuma, Colorado",6330
"Capitol Planning Region, Connecticut",722460
"Greater Bridgeport Planning Region, Connecticut",224015
"Lower Connecticut River Valley Planning Region, Connecticut",140155
"Naugatuck Valley Planning Region, Connecticut",336010
"Northeastern Connecticut Planning Region, Connecticut",74605
"Northwest Hills Planning Region, Connecticut",86880
"South Central Connecticut Planning Region, Connecticut",425735
"Southeastern Connecticut Planning Region, Connecticut",217070
"Western Connecticut Planning Region, Connecticut",419790
"Kent, Delaware",136265
"New Castle, Delaware",421210
"Sussex, Delaware",188635
"District of Columbia, District of Columbia",503685
"Alachua, Florida",217480
"Baker, Florida",21125
"Bay, Florida",137845
"Bradford, Florida",22215
"Brevard, Florida",484110
"Broward, Florida",1303070
"Calhoun, Florida",10745
"Charlotte, Florida",161200
"Citrus, Florida",130125
"Clay, Florida",165155
"Collier, Florida",274930
"Columbia, Florida",53185
"DeSoto, Florida",25110
"Dixie, Florida",13510
"Duval, Florida",729890
"Escambia, Florida",247205
"Flagler, Florida",94170
"Franklin, Florida",10100
"Gadsden, Florida",32965
"Gilchrist, Florida",13920
"Glades, Florida",9630
"Gulf, Florida",12490
"Hamilton, Florida",10485
